date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:31	117670/117670	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2000:19:32%20GMT	https://chineselangsoc.wordpress.com/	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.wordpress.com/index.html	(from )
20:19:31	369/369	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Sep%202017%2000:19:32%20GMT	https://chineselangsoc.wordpress.com/robots.txt		(from )
20:19:32	12405/12405	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258674313-30cd%22	https://s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://chineselangsoc.wordpress.com/)
20:19:32	3252/3252	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2025%20Sep%202017%2000:19:32%20GMT	https://chineselangsoc.wordpress.com/feed/	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.wordpress.com/feed/index.html	(from https://chineselangsoc.wordpress.com/)
20:19:32	63621/63621	---MCZ	200	added ('OK')	text/css	etag:W/%2258fe2bd5-140b4%22	https://s1.wp.com/wp-content/themes/pub/twentyseventeen/style.css?m=1493052316h	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/s1.wp.com/wp-content/themes/pub/twentyseventeen/style605e.css	(from https://chineselangsoc.wordpress.com/)
20:19:32	895/895	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226287dcd529816f3dcb52de228693dd43%22	https://chineselangsoc.wordpress.com/comments/feed/	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.wordpress.com/comments/feed/index.html	(from https://chineselangsoc.wordpress.com/)
20:19:32	895/895	---MCZ	200	added ('OK')	text/xml	date:Mon,%2025%20Sep%202017%2000:19:33%20GMT	https://chineselangsoc.wordpress.com/xmlrpc.php?rsd	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.wordpress.com/xmlrpc0db0.php	(from https://chineselangsoc.wordpress.com/)
20:19:32	1518/1518	---MCZ	200	added ('OK')	application/xml	date:Mon,%2025%20Sep%202017%2000:19:33%20GMT	https://chineselangsoc.wordpress.com/osd.xml	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.wordpress.com/osd.xml	(from https://chineselangsoc.wordpress.com/)
20:19:32	958/958	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2003:10:51%20GMT	https://chineselangsoc.files.wordpress.com/2017/08/cropped-cropped-logo-only-black.png?w=32	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.files.wordpress.com/2017/08/cropped-cropped-logo-only-black76ca.png	(from https://chineselangsoc.wordpress.com/)
20:19:33	1857/1857	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2003:10:51%20GMT	https://chineselangsoc.files.wordpress.com/2017/08/cropped-cropped-logo-only-black.png?w=192	C:/Users/Sahil/Desktop/New%20folder%20(2)/sddf/chineselangsoc.files.wordpress.com/2017/08/cropped-cropped-logo-only-black9939.png	(from https://chineselangsoc.wordpress.com/)
